8c, 260, 0, 0, 0
d, fffffffffffffffe, 5, 9ab3afdba0, 8
d, fffffffffffffffe, 5, 9ab3afdbc8, 8
0, 9ab3afd920, 69c, 1, 7fff27446728
15e, 9ab3afd970, 9ab3afd968, 9ab3afd960, 4
1db, ffffffffffffffff, 4269dfecd0, 4269dfecd8, 1
1db, ffffffffffffffff, 4269dfecd0, 4269dfecd8, 1
5e, 278, 300, 78, e8a8b8f748
5e, 278, 300, 78, e8a8b8f748
5e, 278, 300, 78, e8a8b8f748
5e, 278, 300, 78, e8a8b8f748
5e, 278, 300, 78, e8a8b8f748
5e, 278, 300, 78, e8a8b8f748
5e, 278, 300, 78, e8a8b8f748
17c, 24, 1, 0, ffff0000
5e, 278, 300, 78, e8a8b8f748
5e, 278, 300, 78, e8a8b8f748
5e, 278, 300, 78, e8a8b8f748
1d3, 10, 0, 0, 5dbf3c0
1db, ffffffffffffffff, 4269dfecd0, 4269dfecd8, 1
5e, 278, 300, 78, e8a8b8f748
1db, ffffffffffffffff, 4269dfecd0, 4269dfecd8, 1
5e, 278, 300, 78, e8a8b8f748
1db, ffffffffffffffff, 4269dfecd0, 4269dfecd8, 1
5e, 278, 300, 78, e8a8b8f748
1bd, 2c, 64fa17f690, 0, 64fa17f698
5e, 278, 300, 78, e8a8b8f748
5e, 278, 300, 78, e8a8b8f748
5e, 278, 300, 78, e8a8b8f748
5e, 278, 300, 78, e8a8b8f748
19, ffffffffffffffff, 0, 259b8fbee0, 30
19, 7e8, 0, d6faafc700, 30
3f, 7e8, 7ce771018, d6faafc6d8, 8
1db, ffffffffffffffff, 4269dfecd0, 4269dfecd8, 1
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
3f, 7e8, 15861c41f80, d6faafcae0, 138
3f, 7e8, 15861c45940, d6faafc430, 48
19, 7e8, 1, d6faafc730, 30
19, 7e8, 0, d6faafc1d0, 30
3f, 7e8, 7ce771020, d6faafc1c0, 8
3f, 7e8, 15861c452f0, d6faafc200, 448
3f, 7e8, 15861c45988, 27a7f4f24f0, 24
f, 7e8, 1, 27a7e9b07e0, 4
26, d6faafc6a8, 410, d6faafc650, d6faafc640
f, 208, 208, 64fa17f668, 0
8c, 22c, 20000, 1d867d08670, 1d86742d3a8
1a7, 378, 5, cadc70, 4
17, 378, cadd08, 2, daf008
3000f, 3, 77658b80, 212, 7763666c
33, cadd48, 1, cae5a0, cadce8
1b0007, cae650, 0, 0, 0
3000f, 3, 77658b80, 206, 7763656c
19, 7e8, 0, d6faafc700, 30
3f, 7e8, 4ddb158018, d6faafc6d8, 8
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
3f, 7e8, 1e7084d1f80, d6faafcae0, 138
3f, 7e8, 1e7084d5940, d6faafc430, 48
19, 7e8, 1, d6faafc730, 30
19, 7e8, 0, d6faafc1d0, 30
3f, 7e8, 4ddb158020, d6faafc1c0, 8
1db, ffffffffffffffff, 4269dfecd0, 4269dfecd8, 1
e, 44, 0, 0, 7fff27494ef8
1d0, 7fff273aef34, 0, 5e06dff598, 0
43, 5e06dff9d0, 1, 5e06dff678, 0
1, 18, 5e06dffdc0, 0, 5e06dffd80
1e3, 18, 253ab1dd210, 10, 5e06dffb98
3f, 7e8, 1e7084d52f0, d6faafc200, 448
3f, 7e8, 1e7084d5988, 27a7f4f2a60, 24
f, 7e8, 1, 27a7e9b07e0, 4
26, d6faafc6a8, 410, d6faafc650, d6faafc640
19, 7e8, 0, d6faafc700, 30
3f, 7e8, be0f3ff018, d6faafc6d8, 8
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
3f, 7e8, 28545c04100, d6faafcae0, 138
3f, 7e8, 28545c03d90, d6faafc430, 40
19, 7e8, 1, d6faafc730, 30
1e3, 20, 16e078369e0, 10, 64fa17fb58
5e, 278, 300, 78, e8a8b8f748
34, 0, e8a97fc3f0, 4c, 0
4, 39b0, 0, 426d4d8, 0
1db, ffffffffffffffff, 4269dfecd0, 4269dfecd8, 1
1ae, 18, 9, 5e075ff7f0, 4
28, 270, ffffffffffffffff, cadd00, 7ffeffff
7, 130, 0, 0, 0
7, 130, 0, 0, 0
7, 130, 0, 0, 0
7, 130, 0, 0, 0
7, 130, 0, 0, 0
70, 1c74, ee3ff7eb66, ee3ff7eb60, 1fcc8e20888
3e, 158, ee3ff7ebf0, 8, 7fff250512fd
5e, 154, 300, 78, ee3ff7d3d8
7, 130, 0, 0, 0
17c, 18, 300010003, 10003, 3
1bd, 28, 47ec87f510, 0, 47ec87f540
1bd, 28, 47ec87f460, 0, 47ec87f468
90, 2c, 18, 28, 1ed4ce30d68
e, ac, 0, 10, 80000000
1e3, 1c, 1ed4ce3a000, 10, 47ec87f5e8
d, 164, 3, ee3fffee68, 4
5b, 2, 1fcc8a4a610, 1, 0
d, fffffffffffffffe, 2c, 25fab7fbc0, 8
1db, ffffffffffffffff, 4269dfecd0, 4269dfecd8, 1
1d3, 10, 0, 0, 16ac37f500
90, 1c, 20, 18, 1547c0023d8
1e3, 24, 1547c0c0e80, 10, 16ac37f6d8
19, 7e8, 0, d6faafc1d0, 30
3f, 7e8, be0f3ff020, d6faafc1c0, 8
3f, 7e8, 28545c03740, d6faafc200, 448
3f, 7e8, 28545c03dd0, 27a00086450, 58
f, 7e8, 1, 27a7e9b07e0, 4
1bd, 24, f2980ffb70, 0, f2980ffba0
90, 28, 14, 24, 2b481350d68
1e3, 18, 2b4830bf000, 10, f2980ffc48
1001, 570fa58, 0, 0, 0
5, 570f840, 18, 0, 0
1d3, c, 0, 0, 570f2f0
1001, 570fa58, 0, 0, 0
7, 130, 0, 0, 0
7, 130, 0, 0, 0
7, 130, 0, 0, 0
7, 130, 0, 0, 0
d, fffffffffffffffe, 2c, 196d5db6180, 8
7, 130, 0, 0, 0
7, 130, 0, 0, 0
7, 130, 0, 0, 0
7, 130, 0, 0, 0
4, 39b0, 0, 426d8d8, 0
26, d6faafc6a8, 410, d6faafc650, d6faafc640
19, 7e8, 0, d6faafc700, 30
3f, 7e8, a01c964018, d6faafc6d8, 8
36, 50, 42602ffe10, b0, 0
5b, 2, 42602ffdf8, 1, 0
7, 130, 0, 0, 0
4, 39b0, 0, 426d1b8, 0
4, 39b0, 0, 426d5b8, 0
4, 39b0, 0, 426d4d8, 0
4, 39b0, 0, 426d8d8, 0
14c2, 1, 127d620, 0, 1cff
90, 9c, 80, 98, 26ddcc04968
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
d, fffffffffffffffe, 2c, 25fab7fbc0, 8
4, 39b0, 0, 426ceb8, 0
12, 5e0747dcb8, 20019, 5e0747dbc0, 20019
1e3, 8c, 26ddf0573d0, 10, e2cdcff608
1d3, 10, 0, 0, 25fb57f9c0
90, 18, 1c, 14, 196d4c023d8
1e3, 20, 196d63c2210, 10, 25fb57fb98
d, fffffffffffffffe, 2c, 196d5db6290, 8
d, fffffffffffffffe, 2c, 25fab7fbc0, 8
d, fffffffffffffffe, 2c, 196d5db63a0, 8
1e3, e3c, 196d56e13d0, 10, 25fab7fc08
3f, 7e8, 20fc5e04090, d6faafcae0, 138
4, 39b0, 0, 426d2b8, 0
50, ffffffffffffffff, 1c339070, 1c339078, 2
4, 39b0, 0, 426ceb8, 0
4, 39b0, 0, 426d2b8, 0
15e, 426ebe0, 426ebd8, 426ebd0, 4
15e, 426ec10, 426ec08, 426ec00, 4
15e, 426ebe0, 426ebd8, 426ebd0, 4
15e, 426ec10, 426ec08, 426ec00, 4
1e3, e3c, 196d56e13d0, 10, 25fab7fc08
8c, 4b0, 20000, 264a8f6b070, 264ae8febc8
89, 2fc, 0, a01cf7f3e8, 10
8c, 2fc, 0, 0, 0
1ae, 20, 9, a01cf7f260, 4
d, fffffffffffffffe, 2c, 20fc5ef8868, 8
26, a01cf7e350, 1000, a01cf7e300, a01cf7e2f0
3e, ac, 0, 47ec8ff928, 0
3f, 7e8, 20fc5e03d00, d6faafc430, 40
19, 7e8, 1, d6faafc730, 30
19, 7e8, 0, d6faafc1d0, 30
3f, 7e8, a01c964020, d6faafc1c0, 8
3f, 7e8, 20fc5e036b0, d6faafc200, 448
1c, ffffffffffffffff, 23, 1db5e7c0, 7d8
3f, 7e8, 20fc5e03d40, 27a7f5421b0, 70
f, 7e8, 1, 27a7e9b07e0, 4
26, d6faafc6a8, 410, d6faafc650, d6faafc640
15e, 426ebe0, 426ebd8, 426ebd0, 4
12, 5e0747dca0, 20019, 5e0747dbc0, 20019
1d3, c, 0, 0, 5e06b6b710
12, 253ab167d70, 20119, 5e0747da98, ffffffff
5e, 1c4, 300, 78, 5e0747dcc8
5e, 6c0, 300, 78, 5e0747cb28
19, 5c0, 18, a01cf7e348, 4
3e, 1ac, 0, 47ec8ff998, 0
34, 0, 47ec8ff9e0, 47ec8ff998, 0
f, d1c, d1c, 5e075ff760, 5e075ff880
84, f00, 0, 1, 1
89, f00, 0, 5e075ff7f0, 10
f, 5c0, 0, a01cf7e2b8, 0
26, a01cf7e308, 40, a01cf7e2b0, a01cf7e2a0
42, 39c, 2000000, a01cf7e280, 0
3c, ffffffffffffffff, 4f0, 5c0, a01cf7ec50
f, 5c0, 1, 20fc5ba07e0, 4
8c, 2fc, 410000, 20fc5eb8270, a01cf7f058
f, 4f0, 1, 20fc5ba07e0, 4
d, fffffffffffffffe, 2c, a01cf7f140, 8
1ae, 20, 9, a01cf7f4c8, 4
1e3, 20, 20fc5e933b0, 10, a01cf7f5f8
9, 67c, e8a92ff8b8, e8a92ff828, e8a92ff830
9, 67c, e8a92ff8b8, e8a92ff828, e8a92ff830
19, 7e8, 0, d6faafc700, 30
3f, 7e8, c41698f018, d6faafc6d8, 8
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
3f, 7e8, 1c59c603e30, d6faafcae0, 138
3f, 7e8, 1c59c603b20, d6faafc430, 38
15e, 426ec10, 426ec08, 426ec00, 4
f, f00, f00, 5e075ff760, 7
8a, 4b0, 264a8f6b070, 3, db698fe440
8c, 4b0, 0, 264a8f6b070, db698fe450
21, d4c, c, db698ff1c8, 4
1d3, c, 0, 0, db6900b710
4, 200, 0, db698fd968, 264aaabba80
36, 86, db698fe2d0, 20, 0
f, 4540, 0, 1c339000, 0
3e, 2218, 0, 8, 7fff15b8a9f0
e, 221c, 0, 426ef58, 0
112d, 426ec50, 426ebf8, 99e4600, 11b0000
112d, 426ec50, 426ebf8, 99e4600, 11b0000
84, d60, 0, 1, 1
11ea, 4268240, 42685e0, 4268490, 40
11ea, 42681e0, 6a5db00, 4268218, 0
9, 67c, e8a92ff8b8, e8a92ff828, e8a92ff830
a, 28c, 1, 0, 2523a0007a8
19, 7e8, 1, d6faafc730, 30
19, 7e8, 0, d6faafc1d0, 30
3f, 7e8, c41698f020, d6faafc1c0, 8
8c, 57c, 20000, 253ab423670, 253ab121f78
e, 374, 0, 1fcc8a3cbb0, 0
48, ee4017e328, 1f0003, 0, 0
17c, 18, 1, 0, ffff0000
4, 30c, 0, 0, 0
f, 374, 10, 8, 2
25, fffffffffffffffe, 0, ee3fb9f900, 30
e, 15c, 0, 8, 7fff250512fd
d, fffffffffffffffe, 3, ee3fb9f948, 4
e, 30c, 0, 1fcc8a3cbb0, 0
48, ee4017e328, 1f0003, 0, 0
4, 374, 0, 0, ffff0000
f, 30c, 10, 8, 2
16, b0, 7, db698fdd58, 4
129, db698fddb0, 101, db698fde10, 0
15e, db698fe1e0, db698fe1d8, db698fe1d0, 4
40, db698fe2b8, 100000, db698fe260, 0
4, c54, 0, db698fe228, 0
f, c54, 1, 264a6af07e0, 4
11ea, 4268280, 42683a8, 6a5db00, 0
11ea, 4268070, 4268278, 10ba2390, 4268410
25, fffffffffffffffe, 0, ee3fb9f900, 30
e, 15c, 0, 8, 7fff250512fd
d, fffffffffffffffe, 3, ee3fb9f948, 4
e, 374, 0, 1fcc8a3cbb0, 0
48, ee4017e328, 1f0003, 0, 0
4, 30c, 0, 0, ffff0000
f, 374, 10, 8, 2
25, fffffffffffffffe, 0, ee3fb9f900, 30
e, 15c, 0, 8, 7fff250512fd
d, fffffffffffffffe, 3, ee3fb9f948, 4
e, 30c, 0, 1fcc8a3cbb0, 0
1e3, 18, 1fcc8a27c80, 10, ee3fb9fae8
1e3, 18, 1fcc8a27c80, 10, ee3fb9fae8
d, fffffffffffffffe, 2c, 1e745ef4038, 8
1ae, 24, 9, 4a65aff498, 4
1e3, 24, 1e7467320a0, 10, 4a65aff5c8
1e0, 7fff10a6fae0, 182df550, 1, 0
112d, 42680e0, 4268088, 22ac, 0
1126, 19, 2, 4267d40, 0
11ea, 4268240, 42685e0, 4268490, 40
11ea, 42681e0, 6a5db00, 4268218, 0
89, d60, 0, 5e075ff7f0, 10
3f, 7e8, 1c59c6034d0, d6faafc200, 448
3f, 7e8, 1c59c603b58, 27a7f4f63a0, 14
f, 7e8, 1, 27a7e9b07e0, 4
11ea, 4268280, 42683a8, 6a5db00, 0
11ea, 4268070, 4268278, 10ba21b0, 4268410
112d, 42680e0, 4268088, 22ac, 0
1126, 19, 2, 4267d40, 0
1201, 426e150, 426e1b0, 0, 426e150
1201, 426e330, 426e390, 0, 426e330
19, ffffffffffffffff, 3, e8a93fef20, 60
19, ffffffffffffffff, 3, e8a93fef20, 60
76, ffffffffffffffff, e8a93fe860, e8a93fe7b0, 1000
76, ffffffffffffffff, e8a93fe930, e8a93fe880, 1000
4, 2cc, 0, 0, 83
9, 67c, e8a92ff8b8, e8a92ff828, e8a92ff830
9, 67c, e8a92ff8b8, e8a92ff828, e8a92ff830
9, 67c, e8a92ff8b8, e8a92ff828, e8a92ff830
9, 67c, e8a92ff8b8, e8a92ff828, e8a92ff830
e, 2164, 0, 0, 0
11ea, 426e830, 0, 8000000, 0
1141, 19, 69ed520, d, f9
8c, 378, 20000, 264a8f6b070, 264ae8fe1a8
a, 2cc, 1, 0, 2523a000928
26, d6faafc6a8, 410, d6faafc650, d6faafc640
19, 7e8, 0, d6faafc700, 30
3f, 7e8, 8cd5945018, d6faafc6d8, 8
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
3f, 7e8, 1f814004110, d6faafcae0, 138
3f, 7e8, 1f814003d90, d6faafc430, 40
19, 7e8, 1, d6faafc730, 30
19, 7e8, 0, d6faafc1d0, 30
1393, 426ed80, 2, 1, 426ec78
1e0, 9b59540, 0, fea4f0, c41f4b8
125e, 426de10, 426de50, 426de10, 0
125e, 426de10, 426de50, 426de10, 0
123b, 426dcd0, 426dd18, 426dcd0, 0
1222, 426ce00, 426eab0, 426ce00, 800000
f, 324c, 1, 10207e0, 4
1133, 19, 120, 426eb78, 426eb70
1117, 19, 426eb74, 426ebd8, 0
1126, 19, 2, 426ec70, 0
70, 161c, c41f4ba, c41f4b8, c41f4b8
3c, ffffffffffffffff, fffffffffffffffe, ffffffffffffffff, 1a0841c45b8
5e, 154, 300, 78, ee3fffdb58
145d, 1cff, 426f588, 426f501, 4
90, 2158, 58c, 2154, 9946210
13e9, 426f318, 7fff21b04ab0, 426f1c8, 0
1ae, 18, 9, 9c0f27fa20, 4
3f, 7e8, 8cd5945020, d6faafc1c0, 8
3f, 7e8, 1f814003740, d6faafc200, 448
3f, 7e8, 1f814003dd0, 27a7f542430, 6a
f, 7e8, 1, 27a7e9b07e0, 4
26, d6faafc6a8, 410, d6faafc650, d6faafc640
19, 7e8, 0, d6faafc700, 30
3f, 7e8, c098cd3018, d6faafc6d8, 8
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
5, 426f9a0, 18, 0, 4
1001, 426fb78, 0, 0, 0
14c2, 0, 0, ffffffff, 3cff
89, 1d0, 0, 8e01eff768, 10
8c, 1d0, 0, 0, 0
3f, 7e8, 1df35604110, d6faafcae0, 138
3f, 7e8, 1df35603d80, d6faafc430, 40
19, 7e8, 1, d6faafc730, 30
19, 7e8, 0, d6faafc1d0, 30
3f, 7e8, c098cd3020, d6faafc1c0, 8
3f, 7e8, 1df35603730, d6faafc200, 448
3f, 7e8, 1df35603dc0, 27a7f5cbe30, 78
f, 7e8, 1, 27a7e9b07e0, 4
26, d6faafc6a8, 410, d6faafc650, d6faafc640
19, 7e8, 0, d6faafc700, 30
3f, 7e8, 178f242018, d6faafc6d8, 8
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
f, 1f0, 1f0, 9c0f27f990, 9c0f27fab0
30, ffffffffffffffff, a, 0, 9ab3cff468
89, 224, 0, b5c577f968, 10
89, 744, 0, 8e01eff5e0, 10
f, 744, 744, 18edf42fbd8, 0
1e3, 20, 18edf40f890, 10, 8e01eff978
89, 1b4, 0, 7ca47f7e8, 10
3f, 7e8, 18c304040c0, d6faafcae0, 138
1bd, 2c, bda4dff4a0, 0, bda4dff4a8
61, 230, 0, 1, 1
4, 21c, 0, c416bff5c8, 0
3f, 7e8, 18c30403d00, d6faafc430, 40
f, 1dc, 1dc, 9c0f27f990, 1
e, 4c, 0, 0, 0
1d0, 7fff273aef34, 0, bda4aff3c8, 0
43, bda4aff800, 1, bda4aff4a8, 0
1, 20, bda4affbf0, 0, bda4affba0
1e3, 20, 2ad05153e80, 10, bda4aff9c8
1008, 80328, 87, 0, c
1056, 80328, 8, c0c0c, 0
112d, c41f6a0, c41f618, 0, 0
1267, c41f670, 0, c41f5e8, 0
19, 7e8, 1, d6faafc730, 30
19, 7e8, 0, d6faafc1d0, 30
3f, 7e8, 178f242020, d6faafc1c0, 8
3f, 7e8, 18c304036b0, d6faafc200, 448
3f, 7e8, 18c30403d40, 27a000b3060, a2
f, 7e8, 1, 27a7e9b07e0, 4
26, d6faafc6a8, 410, d6faafc650, d6faafc640
19, 7e8, 0, d6faafc700, 30
3f, 7e8, bc5c0bf018, d6faafc6d8, 8
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
4, 2ac, 0, c416bff5c8, 0
8c, 224, 0, 0, 0
89, f40, 0, b5c577f7e0, 10
f, f40, f40, 1f6d1a73ca8, 0
1e3, 20, 1f6d2ad6e80, 10, b5c577fb78
17c, 20, 100010005, 10005, 1
4, 230, 0, c416bff5c8, 0
4, 1320, 0, c416bff5c8, 0
124d, c416bff570, c0003280, 1c5a4484500, 0
4, 2b0, 0, c416bff588, 0
3f, 7e8, 209f6004140, d6faafcae0, 138
3f, 7e8, 209f6003d80, d6faafc430, 40
19, 7e8, 1, d6faafc730, 30
19, 7e8, 0, d6faafc1d0, 30
3f, 7e8, bc5c0bf020, d6faafc1c0, 8
3f, 7e8, 209f6003730, d6faafc200, 448
3f, 7e8, 209f6003dc0, 27a000134a0, aa
f, 7e8, 1, 27a7e9b07e0, 4
12c2, ffffffff99010c23, 7ff68f5a39d8, 4, 47ec8ff7d0
1068, ffffffff99010c23, f00021, 47ec8ff850, 1
1054, ffffffff99010c23, 0, 12c, 8
8c, 1b4, 0, 0, 0
1bd, 2c, 4dfb3ffa90, 0, 4dfb3ffac0
26, d6faafc6a8, 410, d6faafc650, d6faafc640
f, 0, 1, 27a7e9b07e0, 4
26, d6faafc6a8, 410, d6faafc650, d6faafc640
19, 7e8, 0, d6faafc700, 30
3f, 7e8, bf44ec018, d6faafc6d8, 8
e, 48, 0, 0, 0
1d0, 7fff273aef34, 0, 33c617f1c8, 0
43, 33c617f600, 1, 33c617f2a8, 0
1, 20, 33c617f9f0, 0, 33c617f9a0
1006, ffffffff8b01092d, 0, 120, 8
1010, 7fff24bb1574, 0, 47ec8ff738, 0
14fb, ffffffff8b01092d, 1ed4e7f0580, 78304ae4, 1ed4d010000
e, 1ac, 0, 47ec8ff7e8, 0
4, 1a8, 0, 0, 0
4, ac, 0, 0, 0
5b, 1, c41f620, 0, 1
1e3, 20, 1ed65ff9b00, 10, 33c617f7c8
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
89, 514, 0, c1b737f878, 10
8c, 514, 0, 0, 0
1bd, 2c, 4dfb3ff9e0, 0, 4dfb3ff9e8
90, 30, 1c, 2c, 162eb402558
1ae, 20, 9, 4dfb3ffa10, 4
1ae, 20, 9, 4dfb3ffa38, 4
1e3, 20, 162eb409380, 10, 4dfb3ffb68
2a, ffffffffffffffff, 26ddf600000, 0, 0
70, 904, e2ce07dcb6, e2ce07dcb0, 26ddcc30d10
76, ffffffffffffffff, e2ce0fcde0, e2ce0fcd30, 1000
6, 4f4, 0, 0, 0
89, 900, 0, c1b737f6f0, 10
f, 900, 900, 2490e880b98, 0
1e3, 18, 2490f4e6040, 10, c1b737fa88
1e3, 20, 196d63c3b00, 10, 25f997f658
1bd, 2c, 25f9a7f980, 0, 25f9a7f9b0
17c, 20, 1, 0, ffff0000
90, 30, 1c, 2c, 196d4c02558
55, 25f9a7f450, 100080, 25f9a7f490, 25f9a7f458
7, 1744, 0, 0, 0
f, 1744, 1, 196d49d07e0, 4
1de, 25f9a7f6b0, 0, 0, 0
36, 2, 25f9a7f830, 158, 0
17c, 20, 100010004, 10004, 1
90, 74, 14, 70, 14004e06928
f8, 0, 3255fff930, 0, 0
3f, 7e8, 1761e804090, d6faafcae0, 138
3f, 7e8, 1761e803d00, d6faafc430, 40
19, 7e8, 1, d6faafc730, 30
8c, 370, 20000, 1400a2c9470, 14004e50168
89, 340, 0, 25fb57f988, 10
8c, 340, 0, 0, 0
1ae, 20, 9, 25fb57f800, 4
d, fffffffffffffffe, 2c, 196d6343de8, 8
89, 184, 0, ef846ff678, 10
e, 1040, 0, 196d5cb3700, 7ffe03b0
1e3, 20, 196d6337940, 10, 25f9a7fa58
1e3, 18, 68f3340, 10, a7afa68
19, 7e8, 0, d6faafc1d0, 30
129, e2ce0fda18, 2000000, e2ce0fda58, 0
16, 764, 7, e2ce0fd7f8, 4
1ae, 20, 9, 25fb57fa68, 4
3f, 7e8, bf44ec020, d6faafc1c0, 8
1bd, 2c, 8e017ff550, 0, 8e017ff558
1d3, f, 362367c978, a0, 362367c978
1d3, 1e, 362367c9c8, 18, 362367c9e0
43, bc5c47f7b0, bc5c132201, bc5c132000, bc5c132000
1, 90, bc5c47fba0, 0, bc5c47fb60
1e3, 90, 209f60075a0, 10, bc5c47f978
90, a0, 84, 9c, 209f6004968
1e, ffffffffffffffff, bc5c47f580, bc5c47f588, 4000
3f, 7e8, 1761e8036b0, d6faafc200, 448
1e0, 26ddcc30d10, 0, e2ce07dc88, 0
3f, 7e8, 1761e803d40, 27a7f5429b0, 74
f, 7e8, 1, 27a7e9b07e0, 4
89, a5c, 0, 8cd5cfdbb0, 10
25, fffffffffffffffe, 17, c416bff6b0, 10
1157, c416bff450, c416bff5f0, c416bff5e8, 0
1157, c416bff380, c416bff498, 7ffe7000, 83
1e3, 24, 21f39830a10, 10, 5f281ff4e8
25, fffffffffffffffe, 0, 5e06c7f700, 30
d, fffffffffffffffe, 3, 5e06c7f748, 4
1e3, 20, 196d63c2210, 10, 25fb57fb98
f8, 1400a2c8358, 3255fff930, 1, 0
1e3, 18, 140075c6760, 10, 3255fffa08
1bd, a8, 8e017ff300, 0, 8e017ff308
1ae, 20, 9, 8e017ff5c8, 4
1e3, 90, 209f60075a0, 10, bc5c47f978
3e, 1070, 25fb2ffd50, 25fb2ffd38, 0
3e, 106c, 0, 25fb2ffae8, 0
119, 1074, 0, 0, 25fb2ffa10
119, 1074, 0, 0, 25fb2ffad0
4, 107c, 0, 25fb2ffae8, 25fb2ffd30
26, d6faafc6a8, 410, d6faafc650, d6faafc640
19, 7e8, 0, d6faafc700, 30
3f, 7e8, 4509cc7018, d6faafc6d8, 8
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
3f, 7e8, 19aa96040b0, d6faafcae0, 138
3f, 7e8, 19aa9603d10, d6faafc430, 40
19, 7e8, 1, d6faafc730, 30
19, 7e8, 0, d6faafc1d0, 30
5b, 3, 25fb2ffc80, 1, 0
8c, 31c, 0, 0, 0
1ae, 24, 9, a32616f2c0, 4
d, fffffffffffffffe, 2c, 25b4ac1fdc8, 8
86, 3c4, 25b4acc4b60, 0, a32616e780
0, 25b4ac6f6a0, fffffffffffffffb, 1, 7fff1c559ba8
d, fffffffffffffffe, 5, a32616e570, 8
1ae, 24, 9, a32616f528, 4
1e3, 24, 25b4ac0f930, 10, a32616f658
83, 408, 0, 10, 408
24, fffffffffffffffe, e, 1, 425f8fd768
24, fffffffffffffffe, e, 425f8fd601, 425f8fd690
24, fffffffffffffffe, c, 1, 425f8fd8b8
d, fffffffffffffffe, 5, 425f8fd8b0, 8
7f, 408, 0, 1b647fc43a0, 20000
d, fffffffffffffffe, 5, 425f8fd870, 8
8c, 408, 20000, 1b648d86a50, 1b647f9d618
89, 31c, 0, a32616f448, 10
8c, 31c, 0, 0, 0
1ae, 24, 9, a32616f2c0, 4
d, fffffffffffffffe, 2c, 25b4ac1fdc8, 8
1115, 4, c416bff400, 1c59c653130, ffffffff
129, e2ce0fd850, 20019, e2ce0fd8b0, 0
1e0, 7ff745055220, 425fcffb70, 1, 0
145c, 1cff, 253a96a40f0, 5e070ff2f8, 0
145d, 1cff, 0, 5e070ff1e8, 0
3f, 7e8, 4509cc7020, d6faafc1c0, 8
3f, 7e8, 19aa96036c0, d6faafc200, 448
3f, 7e8, 19aa9603d50, 27a00088aa0, 88
f, 7e8, 1, 27a7e9b07e0, 4
26, d6faafc6a8, 410, d6faafc650, d6faafc640
1e3, 20, 18edf448b10, 10, 8e017ff6f8
1128, 4, c416bff420, c416bff428, 0
17d, 26c, c416bfeee0, 1, c416bfeed0
5b, 1, 1c59c641140, 1, 0
17d, 26c, c416bfeee0, 1, c416bfeed0
25, fffffffffffffffe, 17, c416bff420, 10
86, 3c4, 25b4acbc360, 0, a32616e580
112c, c416bff370, c416bff364, c416bff368, 0
12dd, ffffffff89120c08, 4, c416bff0e0, c416bff148
103b, ffffffffb3040cea, 0, 0, 0
103b, ffffffffb3040cea, 30, 1c5a6416d50, 0
1020, ffffffffb3040cea, c41699c000, 0, 1c59caf0000
112e, c416bff400, c416bff3f0, c416bff3f4, 0
8c, 45c, 1000000, 0, 0
83, 45c, 0, 15, 45c
83, 160, 0, 15, 160
4, 23c, 0, 0, 100
8a, 45c, 8cd5c7f370, 2, 0
89, 45c, 0, 8cd5c7f180, 10
8c, 45c, 1000000, 0, 0
f, 23c, 1, 1f813e407e0, 4
f, 8c0, 1, 1f813e407e0, 4
f, 410, 1, 1f813e407e0, 4
f, 810, 1, 1f813e407e0, 4
f, ab4, 1, 1f813e407e0, 4
103b, ffffffffb4040cea, 0, 0, 0
103b, ffffffffb4040cea, 40, 1c5a18a33e0, 0
1020, ffffffffb4040cea, c41699c000, 0, 1c59caf0000
25, fffffffffffffffe, 17, c416bff420, 10
11ea, c416bfe938, 1c5a443ba10, 7fff21fb89b0, c416bfe798
11b3, c416bfe810, 1c5a4438050, c416bfe838, 0
11ea, c416bfe7c0, 1, 1c5a2010030, 7fff2749ce20
1257, c416bff120, 7fff2123a7c8, c416bff120, 555b
11ea, c416bff240, 0, 0, 0
1257, c416bff120, 7fff2123a7c8, c416bff120, 555b
11ea, c416bff240, f, 1c5ace135b0, 2e
1157, c416bff2e0, c416bff3f8, 7ffe7000, 83
1119, 4, c416bff4b8, 1c59c6610a8, 1c59c6610a8
146, 870, 0, 5, 83
17c, 18, 1, 0, ffff0000
19, 7e8, 0, d6faafc700, 30
3f, 7e8, 5f27ce6018, d6faafc6d8, 8
3f, 7e8, 7fff274943a0, d6faafc6c0, 8
3f, 7e8, 21f39804110, d6faafcae0, 138
25, fffffffffffffffe, 17, c416bff5c0, 10
5b, 4, 1c59c63b508, 1, 0
17d, 26c, c416bff250, 1, c416bff240
5b, 5, 1c59c641140, 1, 0
f, 1558, 1, 28545ac07e0, 4
f, 192c, 1, 28545ac07e0, 4
1ae, 20, 9, be0f8ff808, 4
1e3, 20, 285469df3d0, 10, be0f8ff938
2c, 0, 0, 1, 2
